"partner_name","tags","data_description","partner_start_date","partner_status","website"
"StreetEasy","real estate","Weekly real estate rental and sales metrics aggregated at the neighborhood level.","2020-07-23T00:00:00.000","Current","www.streeteasy.com/"
"LinkedIn","employment","LinkedIn Hiring Rate, a real-time measure of hiring activity based on LinkedIn members who add a new employer to their profile.","2020-07-23T00:00:00.000","Current","www.linkedin.com/"
"Foursquare","mobility","Aggregated foot traffic data by neighborhood and specific types of businesses.","2020-07-23T00:00:00.000","Current","www.foursquare.com/"
"BetaNYC","business listings","Community-maintained directories of businesses and other essential services, their hours, and other details during the Covid-19 pandemic.","2020-07-23T00:00:00.000","Current","www.beta.nyc/products/open-maps/"
"ioby","community programming","Descriptions of community-based crowdfunding projects and donation transactions.","2020-07-23T00:00:00.000","Current","www.ioby.org/"
"Kinsa","public health, IoT","Aggregated rates of illness and atypical illness from Kinsa smart thermometer readings.","2020-07-23T00:00:00.000","Current","www.kinsahealth.co/"
"SafeGraph","mobility, business listings","Business listings, building footprints/polygons, and anonymized foot traffic data.","2020-07-23T00:00:00.000","Current","www.safegraph.com/"
"OATS","community programming","Sociodemographic information and the degree tech usage/fluency of OATS users, older adults seeking age-appropriate technology training.","2020-07-23T00:00:00.000","Current","www.oats.org/"
"Cuebiq","mobility","Aggregated mobility and density insights, including visit trends to key points of interest and nationwide travel behavior.","2020-07-23T00:00:00.000","Current","www.cuebiq.com/"
"Upsolve","financial services","Demographic information about New Yorkers signing up for personal bankruptcy services and why they are filing for bankruptcy.","2020-07-23T00:00:00.000","Current","www.upsolve.org/"
"Urban Systems Lab","public spaces","Survey results on access to parks and open space during the pandemic.","2020-07-23T00:00:00.000","Current","www.urbansystemslab.com/"
"Metropolitan Museum of Art","arts and culture","Aggregated statistics on museum attendance and membership activities.","2020-10-01T00:00:00.000","Current","www.metmuseum.org/"
"SONYC","sound, IoT","Hourly aggregated decibel data from 15 acoustic noise sensors deployed across NYC since late 2016.","2020-10-01T00:00:00.000","Current","wp.nyu.edu/sonyc/"
"Mastercard","spending","Mastercard Geographic insights - aggregated retail spending insights by industry and neighborhood.","2021-01-19T00:00:00.000","Current","https://www.mastercard.us/en-us.html"
"LiveXYZ","business listings","Directory of every storefront on every block in NYC, including historical tracking of turnover, vacancy, and changes to businesses captured in ground surveys from 2018 to present day.","2020-12-29T00:00:00.000","Current","https://www.livexyz.com/"
